1	1	1
2	3	2
3	2	2
4	5	4
5	4	3
6	1	5
7	6	6
8	7	7
9	8	8
10	9	9
11	10	10
12	11	11
13	12	12
14	1	13
15	13	14
16	14	15
17	15	16
18	16	17
19	17	18
20	18	19
21	1	20
22	11	21
23	19	22
24	20	23
25	16	24
26	21	25
27	22	25
28	24	26
29	23	26
30	25	27
31	26	28
32	27	29
33	1	30
34	28	31
35	11	32
36	30	34
37	29	33
38	10	35
39	29	36
40	31	37
41	32	38
42	33	39
43	34	39
44	29	40
45	35	41
46	36	42
47	37	43
48	38	44
49	36	45
50	1	46
51	39	47
52	23	48
53	40	48
54	41	49
55	42	50
56	43	52
57	10	51
58	44	53
59	45	54
60	11	55
61	25	56
62	46	56
63	47	57
64	28	58
65	48	59
66	23	59
67	49	60
68	23	60
69	50	61
70	51	62
71	52	63
72	39	64
73	53	65
74	23	65
75	54	66
76	52	66
77	55	67
78	56	68
79	57	68
80	58	68
81	59	69
82	23	70
83	60	70
84	52	71
85	61	72
86	62	72
87	60	73
88	63	74
89	64	75
90	52	76
91	48	77
92	52	78
93	65	79
94	51	80
95	67	81
96	66	81
97	68	82
98	69	82
99	51	83
100	51	85
101	51	84
102	70	85
103	51	86
104	71	86
105	52	87
106	65	88
107	65	89
108	59	90
109	59	91
110	60	92
111	52	93
112	59	94
113	48	96
114	52	97
115	48	95
116	52	98
117	72	99
118	48	100
119	60	101
120	49	102
121	74	104
122	73	103
123	75	105
124	75	106
125	76	107
126	77	108
127	75	109
128	80	111
129	79	111
130	78	110
131	81	112
132	82	113
133	83	114
134	85	115
135	84	115
136	86	116
137	87	117
138	88	118
139	89	119
140	90	120
141	91	121
142	92	122
143	93	123
144	94	124
145	95	125
146	96	125
147	97	126
148	98	127
149	99	128
150	100	129
151	101	130
152	102	131
153	103	132
154	104	133
155	106	135
156	105	134
157	107	136
158	108	137
159	109	137
160	111	138
161	110	138
162	112	139
163	113	140
164	114	141
165	115	142
166	116	143
167	117	144
168	118	145
169	119	146
170	120	147
171	121	148
172	122	149
173	123	150
174	125	152
175	124	151
176	126	153
177	127	154
178	128	155
179	129	156
180	130	157
181	131	157
182	102	158
183	133	160
184	132	159
185	134	161
186	135	162
187	136	163
188	128	164
189	137	165
190	138	166
191	139	167
192	140	168
193	141	169
194	142	170
195	143	171
196	144	172
197	145	173
198	146	174
199	148	175
200	147	175
201	149	176
202	150	177
203	151	178
204	152	179
205	153	180
206	154	181
207	156	182
208	155	181
209	158	184
210	157	183
211	159	184
212	160	185
213	162	186
214	163	186
215	161	186
216	165	188
217	164	187
218	166	188
219	167	189
220	168	190
221	169	191
222	170	192
223	171	193
224	172	194
225	175	196
226	173	195
227	174	195
228	177	198
229	176	197
230	178	199
231	180	201
232	179	200
233	181	202
234	182	203
235	183	204
236	184	205
237	88	206
238	185	207
239	186	207
240	187	208
241	188	209
242	167	210
243	189	211
244	190	212
245	191	213
246	192	214
247	189	215
248	193	216
249	194	217
250	195	218
251	196	219
252	197	220
253	198	220
254	199	221
255	200	222
256	201	223
257	202	224
258	203	224
259	204	225
260	205	226
261	206	226
262	207	227
263	208	228
264	209	229
265	140	230
266	210	231
267	211	232
268	213	233
269	212	233
270	119	234
271	88	235
272	214	236
273	215	237
